NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2014;Cajazeiras;2503704;EMEIEF JOSE LEITE ROLIM;3;268;50;0;50;197;197;0
2014;Cajazeiras;2503704;EMEIEF JOSE MARTINS DE OLIVEIRA;3;221;23;0;23;198;103;95
2014;Cajazeiras;2503704;EMEIEF JOSE TEMOTEO DE CARVALHO;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF LUIZ CARTAXO ROLIM;3;307;54;0;54;220;94;126
2014;Cajazeiras;2503704;EMEIEF MANOEL GONCALVES DA SILVA;3;222;27;0;27;174;102;72
2014;Cajazeiras;2503704;EMEIEF MANOEL PEREIRA DA COSTA;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF MATIAS DUARTE ROLIM;3;305;49;0;49;256;147;109
2014;Cajazeiras;2503704;EMEIEF CRISPIM COELHO;3;367;56;0;56;177;177;0
2014;Cajazeiras;2503704;EMEIEF VITAL ALVES DE FREITAS;3;20;2;0;2;18;18;0
2014;Cajazeiras;2503704;EMEIEF JOSE GUEDES ROLIM;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF REGINA VIEIRA DA COSTA;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF ELIZA BEZERRA LEANDRO;3;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF MARIA GUIMARAES COELHO;3;188;28;0;28;160;104;56
2014;Cajazeiras;2503704;ESCOLA MUNDO INFANTIL;4;159;52;21;31;107;107;0
2014;Cajazeiras;2503704;ESCOLA VITORIA-REGIA;4;603;116;31;85;487;260;227
2014;Cajazeiras;2503704;ESC PROFISSIONAL MONTE CARMELO;2;185;0;0;0;165;165;0
2014;Cajazeiras;2503704;INSTITUTO FEDERAL DA PARAIBA - CAMPUS CAJAZEIRAS;1;653;0;0;0;0;0;0
2014;Cajazeiras;2503704;EMEIEF VITORIA BEZERRA;3;479;51;0;51;331;214;117
2014;Cajazeiras;2503704;EMEIEF GALDINO PIRES FERREIRA;3;253;54;0;54;146;96;50
2014;Cajazeiras;2503704;ESCOLA TECNICA DE SAUDE DE CAJAZEIRAS;1;392;0;0;0;0;0;0
2014;Cajazeiras;2503704;CEJA - CENTRO DE EDUCACAO DE JOVENS ADULTOS MONS VICENTE FREITAS;2;1109;0;0;0;0;0;0
2014;Cajazeiras;2503704;EEEF ANTONIO DIAS DA SILVA;2;57;0;0;0;37;37;0
2014;Cajazeiras;2503704;EMEIEF JOSE ANTONIO DO NASCIMENTO;3;22;9;0;9;13;13;0
2014;Cajazeiras;2503704;EMEIEF JOSE ANTONIO DIAS;3;260;16;0;16;244;136;108
2014;Cajazeiras;2503704;EMEIEF ANTONIO TABOSA RODRIGUES - CAIC;3;453;124;66;58;249;157;92
2014;Cajazeiras;2503704;CENTRO EDUCACIONAL JOSUE ROBERTO;4;86;39;20;19;47;47;0
2014;Cajazeiras;2503704;EEIF SAGRADO CORACAO DE JESUS;4;40;40;0;40;0;0;0
2014;Cajazeiras;2503704;DECISIVO COLEGIO E CURSO;4;0;0;0;0;0;0;0
2014;Cajazeiras;2503704;CRECHE FRANCISCA LEANDRO DE SOUSA;3;63;63;25;38;0;0;0
2014;Cajazeiras;2503704;ESC DE ENS FUND NOVA GERACAO;4;15;6;0;6;9;9;0
2014;Cajazeiras;2503704;EDUC CHAPEUZINHO VERMELHO;4;99;53;14;39;46;46;0
2014;Cajazeiras;2503704;EMEIEF IRMA NIRVANDA LEITE ROLIM;3;109;17;0;17;49;49;0
2014;Cajazeiras;2503704;ESCOLA MENINO MALUQUINHO;4;36;13;0;13;23;23;0
2014;Cajazeiras;2503704;CENTRO EDUCACIONAL SENHORA DA PIEDADE;4;47;19;0;19;28;28;0
2014;Cajazeiras;2503704;ESCOLA SORRISO INFANTIL;4;214;74;0;74;140;140;0
2014;Cajazeiras;2503704;DEFINICAO COLEGIO E CURSO;4;386;53;0;53;230;107;123
2014;Cajazeiras;2503704;CENTRO EDUCACIONAL IMACULADA CONCEICAO;4;86;34;0;34;52;52;0
2014;Cajazeiras;2503704;EEIF NOVO SECULO;4;42;16;0;16;26;26;0
2014;Cajazeiras;2503704;ASSOCIACAO DAS ANTIGAS ALUNAS DOROTEIAS;4;48;48;48;0;0;0;0
2014;Cajazeiras;2503704;CRECHE NOSSA SENHORA DA PIEDADE;3;106;106;68;38;0;0;0
2014;Cajazeiras;2503704;INSTITUTO EDUCACIONAL NOSSA SENHORA DE FATIMA;4;81;48;24;24;33;33;0
2014;Cajazeiras;2503704;EEIF ESTRELA CADENTE;4;106;80;0;80;26;26;0
2014;Cajazeiras;2503704;SESC LER CAJAZEIRAS;4;78;0;0;0;0;0;0
2014;Cajazeiras;2503704;EDUCANDARIO PASSOS FIRMES;4;75;54;28;26;21;21;0
2014;Cajazeiras;2503704;EEIF FENIX;4;41;24;0;24;17;17;0
2014;Cajazeiras;2503704;EDUCANDARIO SONHO MEU;4;47;27;9;18;20;20;0
2014;Cajazeiras;2503704;MASTERS GOLD COLEGIO E CURSO;4;114;0;0;0;41;0;41
2015;Cajazeiras;2503704;COLEGIO NOSSA SRª DE LOURDES;4;1096;186;60;126;618;282;336
2015;Cajazeiras;2503704;COLEGIO NOSSA SRA DO CARMO LTDA;4;693;71;37;34;418;195;223
2015;Cajazeiras;2503704;COLEGIO ALTERNATIVO MASTER;4;51;19;4;15;32;19;13
2015;Cajazeiras;2503704;EEIFM ARCO IRIS;4;174;24;0;24;150;70;80
2015;Cajazeiras;2503704;EEEFM PROF MANOEL MANGUEIRA LIMA;2;662;0;0;0;337;0;337
2015;Cajazeiras;2503704;EEEFM PROFº CRISPIM COELHO;2;642;0;0;0;205;0;205
2015;Cajazeiras;2503704;EEEF DOM MOISES COELHO;2;919;0;0;0;768;118;650
2015;Cajazeiras;2503704;EEEF DESEMBARGADOR BOTO DE MENEZES;2;274;0;0;0;214;214;0
2015;Cajazeiras;2503704;EEEIEF JANDUY CARNEIRO;2;64;0;0;0;64;64;0
2015;Cajazeiras;2503704;EEEF CEL JOAQUIM MATOS;2;183;0;0;0;150;150;0
2015;Cajazeiras;2503704;EEEFM CRISTIANO CARTAXO;2;561;0;0;0;0;0;0
2015;Cajazeiras;2503704;EEEF JOAQUIM VICTOR JUREMA;2;169;0;0;0;139;139;0
2015;Cajazeiras;2503704;EEEF MONSENHOR JOAO MILANES;2;222;0;0;0;222;0;222
2015;Cajazeiras;2503704;EEEF SINHAZINHA RAMALHO;2;271;0;0;0;218;218;0
2015;Cajazeiras;2503704;EEEFM MONS CONSTANTINO VIEIRA;2;863;0;0;0;0;0;0
2015;Cajazeiras;2503704;EEEF DE FAZENDA SAO JOSE;2;61;0;0;0;18;18;0
2015;Cajazeiras;2503704;EEEIF JOSE MANOEL DE ABREU;2;68;0;0;0;31;31;0
2015;Cajazeiras;2503704;EMEIEF ANTONIO DE SOUSA DIAS;3;472;53;0;53;419;197;222
2015;Cajazeiras;2503704;EMEIEF GABRIEL LUCINDO PEREIRA;3;41;3;0;3;38;38;0
2015;Cajazeiras;2503704;EMEIEF FRANCISCO ARCANJO DE ALBUQUERQUE;3;21;6;0;6;15;15;0
2015;Cajazeiras;2503704;EMEIEF TRAJANO BORGES;3;26;10;0;10;16;16;0
2015;Cajazeiras;2503704;EMEIEF ANIBAL GOMES DE SA;3;0;0;0;0;0;0;0
2015;Cajazeiras;2503704;EMEIEF AUGUSTO BERNARDINO DE SOUZA;3;159;21;0;21;138;89;49
2015;Cajazeiras;2503704;EMEIEF CAROLINO DE SOUSA NETO;3;193;23;0;23;170;92;78
2015;Cajazeiras;2503704;EMEIEF CECILIA ESTOLANO MEIRELES;3;554;74;0;74;378;221;157
2015;Cajazeiras;2503704;EMEIEF COSTA E SILVA;3;562;72;0;72;376;157;219
2015;Cajazeiras;2503704;EMEIEF JOSE DANIEL DE SOUSA;3;0;0;0;0;0;0;0
